Difference found! 00 | 02 (2 25)
Difference found! 42 | 13 (22 7)
Difference found! 14 | 00 (22 8)
Difference found! 00 | 16 (22 16)
Difference found! 00 | 2A (22 17)
Difference found! 02 | 23 (22 18)
Difference found! 1B | 07 (22 19)
Difference found! 21 | 00 (22 20)
Difference found! 13 | 00 (22 21)
Difference found! 05 | 00 (22 22)
Difference found! 2D | 05 (23 5)
Difference found! 66 | 12 (23 6)
Difference found! 83 | 13 (23 7)
Difference found! 7B | 05 (23 8)
Difference found! 4F | 00 (23 9)
Difference found! 00 | 0D (23 14)
Difference found! 00 | 33 (23 15)
Difference found! 00 | 45 (23 16)
Difference found! 24 | 3B (23 17)
Difference found! 43 | 20 (23 18)
Difference found! 4C | 00 (23 19)
Difference found! 3F | 00 (23 20)
Difference found! 20 | 00 (23 21)
Difference found! 07 | 00 (23 22)
Difference found! 1A | 00 (24 5)
Difference found! 50 | 07 (24 6)
Difference found! 88 | 11 (24 7)
Difference found! AD | 12 (24 8)
Difference found! B3 | 0C (24 9)
Difference found! 8F | 04 (24 10)
Difference found! 53 | 09 (24 11)
Difference found! 0F | 0A (24 12)
Difference found! 00 | 16 (24 13)
Difference found! 00 | 38 (24 14)
Difference found! 2E | 47 (24 15)
Difference found! 6D | 3A (24 16)
Difference found! 9D | 21 (24 17)
Difference found! 96 | 00 (24 18)
Difference found! 79 | 00 (24 19)
Difference found! 4F | 00 (24 20)
Difference found! 22 | 00 (24 21)
Difference found! 05 | 00 (24 22)
Difference found! 07 | 00 (25 5)
Difference found! 2A | 02 (25 6)
Difference found! 5B | 09 (25 7)
Difference found! 90 | 09 (25 8)
Difference found! C0 | 03 (25 9)
Difference found! DA | 06 (25 10)
Difference found! DA | 0D (25 11)
Difference found! CD | 11 (25 12)
Difference found! C7 | 21 (25 13)
Difference found! CF | 2D (25 14)
Difference found! E0 | 1C (25 15)
Difference found! EC | 03 (25 16)
Difference found! E0 | 00 (25 17)
Difference found! AD | 00 (25 18)
Difference found! 76 | 00 (25 19)
Difference found! 41 | 00 (25 20)
Difference found! 16 | 00 (25 21)
Difference found! 02 | 00 (25 22)
Difference found! 0F | 00 (26 6)
Difference found! 28 | 00 (26 7)
Difference found! 4D | 00 (26 8)
Difference found! 7E | 00 (26 9)
Difference found! AB | 00 (26 10)
Difference found! D2 | 01 (26 11)
Difference found! F2 | 03 (26 12)
Difference found! FE | 03 (26 13)
Difference found! FF | 00 (26 14)
Difference found! FA | 00 (26 15)
Difference found! DF | 00 (26 16)
Difference found! B0 | 00 (26 17)
Difference found! 7A | 00 (26 18)
Difference found! 49 | 00 (26 19)
Difference found! 22 | 00 (26 20)
Difference found! 09 | 01 (26 21)
Difference found! 03 | 00 (27 6)
Difference found! 09 | 00 (27 7)
Difference found! 17 | 00 (27 8)
Difference found! 31 | 00 (27 9)
Difference found! 4F | 00 (27 10)
Difference found! 72 | 00 (27 11)
Difference found! 97 | 00 (27 12)
Difference found! A4 | 00 (27 13)
Difference found! A3 | 00 (27 14)
Difference found! 95 | 00 (27 15)
Difference found! 76 | 00 (27 16)
Difference found! 4F | 00 (27 17)
Difference found! 31 | 00 (27 18)
Difference found! 19 | 00 (27 19)
Difference found! 09 | 02 (27 20)
Difference found! 02 | 01 (27 21)
